98,Burger,Options,Lettuce,0.00,1,0
99,Burger,Options,Tomato,0.00,1,0
100,Burger,Options,Onion,0.00,1,0
101,Burger,Options,Pickles,0.00,1,0
102,Burger,Toppings,Mayo,0.00,1,0
103,Burger,Toppings,Salt,0.00,1,0
104,Burger,Toppings,Pepper,0.00,1,0
105,Burger,Toppings,Ketchup,0.00,1,0
106,Grilled Cheese,Protein,Plain,0.00,1,0
107,Grilled Cheese,Protein,Tomato,0.50,1,0
108,Grilled Cheese,Protein,Ham,1.00,1,0
109,Grilled Cheese,Protein,Bacon,1.00,1,0
110,Grilled Cheese,Protein,Turkey Bacon,1.00,1,0
111,Grilled Cheese,Protein,Pork Roll,1.00,1,0
112,Grilled Cheese,Protein,Turkey Breast,1.00,1,0
113,Grilled Cheese,Protein,Sausage,1.00,1,0
114,Side Orders,Choice,Side order of Hash Browns,1.50,1,0
115,Side Orders,Choice,Side order of Bacon,2.00,1,0
116,Drinks,Choice,Hot Coffee - Small,1.00,1,0
117,Drinks,Choice,Hot Coffee - Large,1.50,1,0
118,Drinks,Choice,Hot Tea - Small,1.00,1,0
119,Drinks,Choice,Hot Tea - Large,1.50,1,0
120,Drinks,Choice,Ice Coffee,3.00,1,0
121,Drinks,Choice,Soda Can,1.00,1,0
122,Drinks,Choice,Soda Bottle,2.00,1,0
123,Drinks,Choice,Juices,2.00,1,0
124,Drinks,Choice,Energy Drink,3.00,1,0
125,Drinks,Choice,Bucket Ice Tea,3.50,1,0
126,Drinks,Choice,Bucket Lemonade,3.50,1,0
